Player,Team,Games Played,Points,Points / Game,Touchdowns,Passing Touchdowns,Rushing Touchdowns,Receiving Touchdowns,Kicking Points,Field Goals Made,Extra Points Made,Total Kick and Punt Return Touchdowns,Kick Return Touchdowns,Punt Return Touchdowns,Interception Touchdowns,Fumble Recovery Touchdowns,Safeties,Two Point Conversions
"Turbin, Robert",SEA,16,12,0.8,2,-,0,2,-,-,-,-,-,-,-,-,-,0
"Martin, Doug",TB,11,12,1.1,2,-,2,0,-,-,-,-,-,-,-,-,-,0
"Owusu, Chris",[],8,12,1.5,2,-,1,1,-,-,-,0,0,0,-,-,-,0
"Todman, Jordan",JAX,16,12,0.8,2,-,1,1,-,-,-,0,0,0,-,-,-,0
"Pierce, Bernard",BAL,13,12,0.9,2,-,2,0,-,-,-,-,-,-,-,-,-,0
"Toilolo, Levine",ATL,16,12,0.8,2,-,-,2,-,-,-,0,0,0,-,-,-,0
"Hyde, Micah",GB,16,12,0.8,2,-,-,-,-,-,-,2,0,2,0,0,0,0
"Doyle, Jack",IND,16,12,0.8,2,-,-,2,-,-,-,-,-,-,-,-,-,0
"Murray, Latavius",OAK,15,12,0.8,2,-,2,0,-,-,-,0,0,0,-,-,-,0
"Bailey, Stedman",STL,14,12,0.9,2,-,0,1,-,-,-,1,0,1,-,-,-,0
"Sims, Dion",MIA,14,12,0.9,2,-,-,2,-,-,-,-,-,-,-,-,-,0
"Patterson, Cordarrelle",MIN,16,12,0.8,2,-,1,1,-,-,-,0,0,0,-,-,-,0
"Thielen, Adam",MIN,16,12,0.8,2,-,-,1,-,-,-,0,0,0,-,-,-,0
"Brown, Jaron",ARZ,16,12,0.8,2,-,-,2,-,-,-,-,-,-,-,-,-,0
"Wheaton, Markus",PIT,16,12,0.8,2,-,0,2,-,-,-,0,0,0,-,-,-,0
"Whittaker, Fozzy",CAR,10,12,1.2,2,-,1,1,-,-,-,0,0,0,-,-,-,0
"Helfet, Cooper",SEA,10,12,1.2,2,-,-,2,-,-,-,0,0,0,0,0,0,0
"Rainey, Bobby",TB,15,12,0.8,2,0,1,1,-,-,-,0,0,0,-,-,-,0
"Seferian-Jenkins, Austin",TB,9,12,1.3,2,-,-,2,-,-,-,-,-,-,-,-,-,0
"Sankey, Bishop",TEN,16,12,0.8,2,-,2,0,-,-,-,0,0,0,-,-,-,0
"Amaro, Jace",NYJ,14,12,0.9,2,-,-,2,-,-,-,0,0,0,-,-,-,0
"Rodgers, Richard",GB,16,12,0.8,2,-,-,2,-,-,-,0,0,0,-,-,-,0
"Freeman, Devonta",ATL,16,12,0.8,2,-,1,1,-,-,-,-,-,-,0,0,0,0
"Thomas, De'Anthony",KC,12,12,1.0,2,-,1,0,-,-,-,1,0,1,-,-,-,0
"Johnson, Storm",JAX,6,12,2.0,2,-,2,0,-,-,-,-,-,-,-,-,-,0
"Hartley, Garrett",CLE,2,11,5.5,0,-,-,-,11,3,2,-,-,-,-,-,-,0
"Cotchery, Jerricho",CAR,15,8,0.5,1,-,-,1,-,-,-,-,-,-,-,-,-,1
"Spaeth, Matt",PIT,15,8,0.5,1,-,-,1,-,-,-,-,-,-,-,-,-,1
"Carlson, John",ARZ,16,8,0.5,1,-,-,1,-,-,-,-,-,-,-,-,-,1
"Henery, Alex",DET,2,8,4.0,0,-,-,-,8,1,5,-,-,-,-,-,-,0
"Harkey, Cory",STL,16,8,0.5,1,-,-,1,-,-,-,-,-,-,-,-,-,1
"Ellison, Rhett",MIN,16,8,0.5,1,-,-,1,-,-,-,0,0,0,-,-,-,1
"Fauria, Joseph",DET,7,8,1.1,1,-,-,1,-,-,-,-,-,-,-,-,-,1
"Brees, Drew",NO,16,6,0.4,1,33,1,0,-,-,-,-,-,-,-,-,-,0
