Player,Team,Games Played,All Purpose Yards,Yards From Scrimmage,Yards From Scrimmage / Game,Touchdowns,Total Yards,Rushing Yards,Rushing Yards / Attempt,Rushing Yards / Game,Rushing Touchdowns,Receiving Yards,Yards / Reception,Receiving Yards / Game,Receiving Touchdowns
"Green, A.J.",CIN,16,1426,1426,89.1,11,1426,-,-,-,-,1426,14.6,89.1,11
"Johnson, Chris",TEN,16,1422,1422,88.9,10,1422,1077,3.9,67.3,6,345,8.2,21.6,4
"Johnson, Andre",HOU,16,1407,1407,87.9,5,1407,-,-,-,-,1407,12.9,87.9,5
"Martin, Doug",TB,6,562,522,87.0,1,562,456,3.6,76.0,1,66,5.5,11.0,0
"Garcon, Pierre",WSH,16,1365,1365,85.3,5,1365,19,9.5,1.2,0,1346,11.9,84.1,5
"Cobb, Randall",GB,6,544,511,85.2,4,544,78,19.5,13.0,0,433,14.0,72.2,4
"Gronkowski, Rob",NE,7,592,592,84.6,4,592,-,-,-,-,592,15.2,84.6,4
"Morris, Alfred",WSH,16,1353,1353,84.6,7,1353,1275,4.6,79.7,7,78,8.7,4.9,0
"Jackson, DeSean",PHI,16,1415,1334,83.4,9,1415,2,0.7,0.1,0,1332,16.2,83.3,9
"Nelson, Jordy",GB,16,1314,1314,82.1,8,1314,-,-,-,-,1314,15.5,82.1,8
"Marshall, Brandon",CHI,16,1287,1295,80.9,12,1287,-,-,-,-,1295,13.0,80.9,12
"Decker, Eric",DEN,16,1290,1288,80.5,11,1290,-,-,-,-,1288,14.8,80.5,11
"Jackson, Fred",BUF,16,1277,1277,79.8,10,1277,890,4.3,55.6,9,387,8.2,24.2,1
"Stacy, Zac",STL,14,1114,1114,79.6,8,1114,973,3.9,69.5,7,141,5.4,10.1,1
"Vereen, Shane",NE,8,701,635,79.4,4,701,208,4.7,26.0,1,427,9.1,53.4,3
"Gore, Frank",SF,16,1269,1269,79.3,9,1269,1128,4.1,70.5,9,141,8.8,8.8,0
"Williams, DeAngelo",CAR,15,1176,1176,78.4,4,1176,843,4.2,56.2,3,333,12.8,22.2,1
"Bryant, Dez",DAL,16,1234,1234,77.1,13,1234,1,1.0,0.1,0,1233,13.3,77.1,13
"Jackson, Vincent",TB,16,1224,1224,76.5,7,1224,0,0.0,0.0,0,1224,15.7,76.5,7
"Bradshaw, Ahmad",IND,3,228,228,76.0,2,228,186,4.5,62.0,2,42,6.0,14.0,0
"Baker, Edwin",CLE,3,228,228,76.0,2,228,171,4.0,57.0,2,57,7.1,19.0,0
"Graham, Jimmy",NO,16,1215,1215,75.9,16,1215,-,-,-,-,1215,14.1,75.9,16
"Bernard, Giovani",CIN,16,1209,1209,75.6,8,1209,695,4.1,43.4,5,514,9.2,32.1,3
"Bell, Joique",DET,16,1201,1197,74.8,8,1201,650,3.9,40.6,8,547,10.3,34.2,0
"Spiller, C.J.",BUF,15,1118,1118,74.5,2,1118,933,4.6,62.2,2,185,5.6,12.3,0
"Floyd, Malcom",SD,2,149,149,74.5,0,149,-,-,-,-,149,24.8,74.5,0
"Grimes, Jonathan",HOU,2,149,149,74.5,1,149,73,3.5,36.5,1,76,12.7,38.0,0
"Jones-Drew, Maurice",JAX,15,1117,1117,74.5,5,1125,803,3.4,53.5,5,314,7.3,20.9,0
"Boldin, Anquan",SF,16,1190,1190,74.4,7,1190,11,5.5,0.7,0,1179,13.9,73.7,7
"Brown, Andre",NYG,8,595,595,74.4,3,595,492,3.5,61.5,3,103,5.2,12.9,0
"Wayne, Reggie",IND,7,508,508,72.6,2,508,5,5.0,0.7,0,503,13.2,71.9,2
"Boyce, Josh",NE,9,335,121,13.4,0,335,-,-,-,-,121,13.4,13.4,0
"Dray, Jim",ARZ,16,215,215,13.4,2,215,-,-,-,-,215,8.3,13.4,2
"Rodgers, Aaron",GB,9,120,120,13.3,0,2656,120,4.0,13.3,0,-,-,-,-
"Caldwell, Andre",DEN,16,348,207,12.9,3,348,7,7.0,0.4,0,200,12.5,12.5,3
"Fauria, Joseph",DET,16,207,207,12.9,7,207,-,-,-,-,207,11.5,12.9,7
"Owusu, Chris",TB,9,114,114,12.7,0,114,-,-,-,-,114,8.8,12.7,0
"Forsett, Justin",JAX,9,134,113,12.6,0,134,31,5.2,3.4,0,82,5.5,9.1,0
"Franklin, Johnathan",GB,11,219,137,12.5,1,219,107,5.6,9.7,1,30,7.5,2.7,0
"Choice, Tashard",[],15,213,185,12.3,0,213,170,3.7,11.3,0,15,3.0,1.0,0
"Simms, Matt",NYJ,3,37,37,12.3,0,193,37,7.4,12.3,0,-,-,-,-
"Scott, Bernard",BAL,2,24,24,12.0,0,24,14,3.5,7.0,0,10,5.0,5.0,0
"Cooper, Josh",CLE,5,60,60,12.0,0,60,-,-,-,-,60,6.7,12.0,0
"Campbell, Jason",CLE,9,107,107,11.9,0,2122,107,7.6,11.9,0,-,-,-,-
"Taylor, Stepfan",ARZ,16,186,186,11.6,0,186,115,3.2,7.2,0,71,8.9,4.4,0
"Tamme, Jacob",DEN,16,184,184,11.5,1,184,-,-,-,-,184,9.2,11.5,1
"Edwards, Patrick",DET,4,46,46,11.5,0,46,-,-,-,-,46,9.2,11.5,0
"Dalton, Andy",CIN,16,183,183,11.4,2,4476,183,3.0,11.4,2,-,-,-,-
"Battle, Jackie",TEN,16,204,178,11.1,1,204,142,3.9,8.9,1,36,9.0,2.3,0
"Posey, DeVier",HOU,14,155,155,11.1,0,155,-,-,-,-,155,10.3,11.1,0
"Bostick, Brandon",GB,11,120,120,10.9,1,120,-,-,-,-,120,17.1,10.9,1
"Cutler, Jay",CHI,11,118,118,10.7,0,2739,118,5.1,10.7,0,-,-,-,-
"Gabbert, Blaine",JAX,3,32,32,10.7,0,513,32,3.6,10.7,0,-,-,-,-
"Polk, Chris",PHI,15,167,159,10.6,3,167,98,8.9,6.5,3,61,15.3,4.1,0
"Hoomanawanui, Michael",NE,13,136,136,10.5,1,136,-,-,-,-,136,11.3,10.5,1
"Daniel, Chase",KC,5,52,52,10.4,0,300,52,3.7,10.4,0,-,-,-,-
"Havili, Stanley",IND,13,135,135,10.4,1,135,7,1.0,0.5,0,128,7.1,9.8,1
"Smith, Antone",ATL,15,195,155,10.3,2,195,145,29.0,9.7,2,10,5.0,0.7,0
"Butler, Brice",OAK,10,103,103,10.3,0,103,-,-,-,-,103,11.4,10.3,0
"Cribbs, Josh",NYJ,6,647,61,10.2,0,685,55,4.2,9.2,0,6,3.0,1.0,0
"Johnson, Josh",CIN,2,20,20,10.0,0,20,20,2.9,10.0,0,-,-,-,-
"Lockette, Ricardo",SEA,8,80,80,10.0,0,80,-2,-2.0,-0.3,0,82,16.4,10.3,0
"Patton, Quinton",SF,6,67,60,10.0,0,67,26,26.0,4.3,0,34,11.3,5.7,0
"Pead, Isaiah",STL,10,237,99,9.9,0,237,21,3.0,2.1,0,78,7.1,7.8,0
"Sherman, Anthony",KC,16,158,158,9.9,1,158,3,1.5,0.2,0,155,8.6,9.7,1
"Byham, Nate",TB,4,38,38,9.5,0,38,-,-,-,-,38,12.7,9.5,0
"White, Myles",GB,7,66,66,9.4,0,66,-,-,-,-,66,7.3,9.4,0
"Ballard, Jake",ARZ,8,75,75,9.4,2,75,-,-,-,-,75,10.7,9.4,2
"Flynn, Matt",[],7,65,65,9.3,0,1457,65,3.3,9.3,0,-,-,-,-
"Collie, Austin",NE,7,63,63,9.0,0,63,-,-,-,-,63,10.5,9.0,0
"Brock, Kevin",KC,4,36,36,9.0,0,36,-,-,-,-,36,12.0,9.0,0
"Keenum, Case",HOU,8,72,72,9.0,1,1832,72,5.1,9.0,1,-,-,-,-
"Brown, Jaron",ARZ,16,140,140,8.8,1,140,-,-,-,-,140,12.7,8.8,1
"Redman, Isaac",PIT,3,26,26,8.7,0,26,12,1.2,4.0,0,14,3.5,4.7,0
"Lewis, Thad",BUF,6,52,52,8.7,1,1144,52,2.2,8.7,1,-,-,-,-
"McCown, Josh",CHI,8,69,69,8.6,1,1898,69,5.3,8.6,1,-,-,-,-
"Young, Darrel",WSH,13,112,112,8.6,4,112,41,3.4,3.2,3,71,17.8,5.5,1
"Jenkins, A.J.",KC,16,136,136,8.5,0,136,6,3.0,0.4,0,130,16.3,8.1,0
"Tuel, Jeff",BUF,2,17,17,8.5,0,326,17,5.7,8.5,0,-,-,-,-
"Toon, Nick",NO,8,68,68,8.5,0,68,-,-,-,-,68,17.0,8.5,0
"Escobar, Gavin",DAL,16,134,134,8.4,2,134,-,-,-,-,134,14.9,8.4,2
"Davis, Knile",KC,16,638,317,19.8,5,638,242,3.5,15.1,4,75,6.8,4.7,0
"Michael, Christine",SEA,4,79,79,19.8,0,79,79,4.4,19.8,0,-,-,-,-
"Quarless, Andrew",GB,16,312,312,19.5,2,312,-,-,-,-,312,9.8,19.5,2
"Stokley, Brandon",BAL,6,115,115,19.2,0,115,-,-,-,-,115,8.9,19.2,0
"Quick, Brian",STL,16,302,302,18.9,2,302,-,-,-,-,302,16.8,18.9,2
"McGrath, Sean",KC,16,302,302,18.9,2,302,-,-,-,-,302,11.6,18.9,2
"Benjamin, Travis",CLE,8,553,150,18.8,1,553,45,45.0,5.6,0,105,21.0,13.1,0
"Manuel, EJ",BUF,10,186,186,18.6,2,2158,186,3.5,18.6,2,-,-,-,-
"Tolzien, Scott",GB,3,55,55,18.3,1,772,55,11.0,18.3,1,-,-,-,-
"Miller, Bruce",SF,14,256,256,18.3,0,256,13,1.9,0.9,0,243,9.7,17.4,0
"Harbor, Clay",JAX,16,292,292,18.3,2,292,-,-,-,-,292,12.2,18.3,2
"Salas, Greg",NYJ,8,143,143,17.9,0,143,-,-,-,-,143,17.9,17.9,0
"Williams, Damian",TEN,10,313,178,17.8,0,313,-,-,-,-,178,11.9,17.8,0
"Demps, Jeff",TB,2,128,35,17.5,0,128,14,14.0,7.0,0,21,7.0,10.5,0
"Dwyer, Jonathan",PIT,15,351,261,17.4,0,351,197,4.0,13.1,0,64,8.0,4.3,0
"Randle, Joseph",DAL,13,232,225,17.3,2,232,164,3.0,12.6,2,61,7.6,4.7,0
"Kendricks, Lance",STL,15,258,258,17.2,4,258,-,-,-,-,258,8.1,17.2,4
"Dickson, Ed",BAL,16,273,273,17.1,1,273,-,-,-,-,273,10.9,17.1,1
"Harvin, Percy",SEA,1,75,17,17.0,0,75,-,-,-,-,17,17.0,17.0,0
"Foles, Nick",PHI,13,221,221,17.0,3,3112,221,3.9,17.0,3,-,-,-,-
"Williams, Teddy",ARZ,3,51,51,17.0,0,51,-,-,-,-,51,51.0,17.0,0
"Willson, Luke",SEA,16,287,272,17.0,1,287,-,-,-,-,272,13.6,17.0,1
"Ogletree, Kevin",[],16,294,269,16.8,2,294,-,-,-,-,269,12.8,16.8,2
"Ponder, Christian",MIN,9,151,151,16.8,4,1799,151,4.4,16.8,4,-,-,-,-
"Burton, Stephen",JAX,4,166,67,16.8,0,166,-9,-9.0,-2.3,0,76,9.5,19.0,0
"Whittaker, Fozzy",[],14,872,234,16.7,2,872,79,2.8,5.6,0,155,7.4,11.1,2
"Paulsen, Logan",WSH,16,267,267,16.7,3,267,-,-,-,-,267,9.5,16.7,3
"Scheffler, Tony",DET,5,82,82,16.4,0,82,-,-,-,-,82,11.7,16.4,0
"Bush, Michael",CHI,15,245,245,16.3,4,245,197,3.1,13.1,3,48,12.0,3.2,1
"Asiata, Matt",MIN,11,207,179,16.3,3,207,166,3.8,15.1,3,13,2.6,1.2,0
"Griffin, Ryan",HOU,15,244,244,16.3,1,244,-,-,-,-,244,12.8,16.3,1
"Morgan, Joshua",WSH,14,525,227,16.2,0,525,13,6.5,0.9,0,214,10.7,15.3,0
"Bennett, Earl",CHI,15,243,243,16.2,4,243,-,-,-,-,243,7.6,16.2,4
"Bailey, Stedman",STL,16,259,259,16.2,1,259,33,16.5,2.1,1,226,13.3,14.1,0
"Brazill, LaVon",IND,10,243,161,16.1,2,243,-,-,-,-,161,13.4,16.1,2
"Martin, Keshawn",HOU,16,1545,253,15.8,3,1545,-,-,-,-,253,11.5,15.8,2
"Thomas, Lamaar",JAX,2,31,31,15.5,0,31,-,-,-,-,31,15.5,15.5,0
"Jones, Felix",PIT,16,757,247,15.4,0,757,184,3.8,11.5,0,63,7.0,3.9,0
"Watson, Benjamin",NO,15,226,226,15.1,2,226,-,-,-,-,226,11.9,15.1,2
"Herron, Daniel",IND,6,103,90,15.0,0,103,33,6.6,5.5,0,57,57.0,9.5,0
"Tannehill, Ryan",MIA,16,238,238,14.9,1,4151,238,6.0,14.9,1,-,-,-,-
"Ford, Chase",MIN,9,150,133,14.8,0,150,-,-,-,-,133,12.1,14.8,0
"Ewing, Bradie",ATL,2,29,29,14.5,0,29,-,-,-,-,29,14.5,14.5,0
"Manningham, Mario",SF,6,85,85,14.2,0,85,-,-,-,-,85,9.4,14.2,0
"Broyles, Ryan",DET,6,89,85,14.2,0,89,-,-,-,-,85,10.6,14.2,0
"Johnson, David",PIT,5,70,70,14.0,0,70,-,-,-,-,70,17.5,14.0,0
"Thompson, Deonte",BAL,7,297,96,13.7,0,297,-,-,-,-,96,9.6,13.7,0
"Williams, Kyle",[],10,331,136,13.6,0,331,23,11.5,2.3,0,113,9.4,11.3,0
"Brown, Ronnie",SD,16,330,217,13.6,1,330,157,3.5,9.8,1,60,7.5,3.8,0
"Davis, Drew",ATL,16,216,216,13.5,2,216,-,-,-,-,216,18.0,13.5,2
"Summers, Frank",BUF,15,125,125,8.3,2,125,46,3.8,3.1,1,79,11.3,5.3,1
"Ross, Jeremy",[],13,884,107,8.2,3,884,40,20.0,3.1,0,67,11.2,5.2,1
"Flacco, Joe",BAL,16,131,131,8.2,1,4043,131,4.9,8.2,1,-,-,-,-
"Bohanon, Tommy",NYJ,16,146,131,8.2,0,146,62,3.7,3.9,0,69,6.3,4.3,0
"Ford, Jacoby",OAK,14,444,114,8.1,0,444,15,3.0,1.1,0,99,7.6,7.1,0
"Britt, Kenny",TEN,12,96,96,8.0,0,96,-,-,-,-,96,8.7,8.0,0
"Reisner, Allen",JAX,5,40,40,8.0,0,40,-,-,-,-,40,8.0,8.0,0
"Barnidge, Gary",CLE,16,127,127,7.9,2,127,-,-,-,-,127,9.8,7.9,2
"Kuhn, John",GB,15,159,119,7.9,1,159,38,3.8,2.5,1,81,6.2,5.4,0
"McDonald, Vance",SF,15,119,119,7.9,0,119,-,-,-,-,119,14.9,7.9,0
"Noble, Danny",JAX,8,63,63,7.9,1,63,-,-,-,-,63,31.5,7.9,1
"Hemingway, Junior",KC,16,125,125,7.8,2,125,-,-,-,-,125,9.6,7.8,2
"Saunders, Weslye",IND,6,46,46,7.7,0,46,-,-,-,-,46,11.5,7.7,0
"Smith, Alfonso",ARZ,16,122,122,7.6,1,122,54,3.0,3.4,1,68,6.8,4.3,0
"Anderson, C.J.",DEN,5,38,38,7.6,0,38,38,5.4,7.6,0,0,-,0.0,0
"Harkey, Cory",STL,15,113,113,7.5,2,113,-,-,-,-,113,8.7,7.5,2
"James, LaMichael",SF,10,647,75,7.5,0,647,59,4.9,5.9,0,16,8.0,1.6,0
"Thigpen, Marcus",MIA,16,1249,115,7.2,1,1249,18,3.0,1.1,0,97,12.1,6.1,1
"Karim, Deji",HOU,7,154,50,7.1,0,154,51,4.3,7.3,0,-1,-1.0,-0.1,0
"Davis, Fred",WSH,10,70,70,7.0,1,70,-,-,-,-,70,10.0,7.0,1
"Gillislee, Mike",MIA,3,21,21,7.0,0,21,21,3.5,7.0,0,-,-,-,-
"Dickerson, Dorin",DET,5,52,34,6.8,0,52,-,-,-,-,34,17.0,6.8,0
"Harris, Dwayne",DAL,13,1199,86,6.6,3,1199,6,6.0,0.5,0,80,8.9,6.2,2
"Roethlisberger, Ben",PIT,16,104,104,6.5,1,4365,99,3.7,6.2,1,5,-,0.3,0
"Clemens, Kellen",STL,10,64,64,6.4,0,1737,64,2.8,6.4,0,-,-,-,-
"Paulson, David",PIT,16,102,102,6.4,0,102,-,-,-,-,102,17.0,6.4,0
"Cassel, Matt",MIN,9,57,57,6.3,1,1864,57,3.2,6.3,1,-,-,-,-
"Collins, Jed",NO,16,99,99,6.2,1,99,45,3.0,2.8,1,54,3.9,3.4,0
"Sanzenbacher, Dane",CIN,10,61,61,6.1,0,61,-,-,-,-,61,10.2,6.1,0
"Hughes, Robert",IND,1,6,6,6.0,0,6,-,-,-,-,6,6.0,6.0,0
"Gragg, Chris",BUF,9,53,53,5.9,1,53,-,-,-,-,53,10.6,5.9,1
"Hill, Michael",[],8,65,46,5.8,0,65,23,2.6,2.9,0,23,11.5,2.9,0
"Aubrey, Josh",CLE,6,34,34,5.7,0,34,34,34.0,5.7,0,-,-,-,-
"Ellison, Rhett",MIN,11,68,61,5.5,1,68,-,-,-,-,61,12.2,5.5,1
"Mastrud, Jeron",OAK,16,88,88,5.5,0,88,-,-,-,-,88,14.7,5.5,0
"Weeden, Brandon",CLE,8,44,44,5.5,0,1775,44,3.7,5.5,0,-,-,-,-
"Coleman, Derrick",SEA,12,65,65,5.4,1,65,3,1.5,0.3,0,62,7.8,5.2,1
"Dixon, Anthony",SF,16,187,86,5.4,2,187,56,2.0,3.5,2,30,10.0,1.9,0
"Hoyer, Brian",CLE,3,16,16,5.3,0,631,16,2.7,5.3,0,-,-,-,-
"Wheaton, Markus",PIT,12,101,64,5.3,0,101,-,-,-,-,64,10.7,5.3,0
"Preston, Michael",TEN,7,37,37,5.3,2,37,-,-,-,-,37,7.4,5.3,2
"Pascoe, Bear",NYG,16,83,83,5.2,0,83,2,2.0,0.1,0,81,6.8,5.1,0
"Hogan, Chris",BUF,16,83,83,5.2,0,83,-,-,-,-,83,8.3,5.2,0
"Henne, Chad",JAX,15,77,77,5.1,0,3318,77,2.9,5.1,0,-,-,-,-
"Page, Eric",TB,16,881,82,5.1,0,881,14,7.0,0.9,0,68,17.0,4.3,0
"Moore, Marlon",[],14,71,71,5.1,0,71,9,9.0,0.6,0,62,8.9,4.4,0
"Freeman, Josh",[],4,20,20,5.0,0,781,20,4.0,5.0,0,-,-,-,-
"Gurley, Tori",CLE,3,15,15,5.0,0,15,-,-,-,-,15,15.0,5.0,0
"Ware, Spencer",SEA,2,10,10,5.0,0,10,10,3.3,5.0,0,-,-,-,-
"Smith, Lee",BUF,16,78,78,4.9,0,78,-,-,-,-,78,15.6,4.9,0
"Cole, Colin",CAR,15,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Jenkins, Cullen",NYG,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Wells, Scott",STL,12,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Starks, Randy",MIA,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Hartsock, Ben",CAR,13,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Allen, Jared",MIN,16,0,0,0.0,0,0,-,-,-,-,0,-,0.0,0
"Kelly, Tommy",NE,5,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Bell, Yeremiah",ARZ,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Loeffler, Cullen",MIN,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Wilfork, Vince",NE,4,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Snee, Chris",NYG,3,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Vilma, Jonathan",NO,1,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Dansby, Karlos",ARZ,16,0,0,0.0,2,0,-,-,-,-,-,-,-,-
"Dockett, Darnell",ARZ,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Smith, Antonio",HOU,15,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Starks, Max",STL,2,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Hardwick, Nick",SD,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Phillips, Shaun",DEN,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Adams, Mike",DEN,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Lee, Andy",SF,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Jones, Donnie",PHI,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Allen, Will",[],17,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Clemons, Chris",SEA,14,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Wharton, Travelle",CAR,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Scobee, Josh",JAX,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Smith, Daryl",BAL,16,0,0,0.0,1,0,-,-,-,-,-,-,-,-
"Edwards, Dwan",CAR,11,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Pashos, Tony",OAK,12,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Babin, Jason",JAX,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Robinson, Dunta",KC,8,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Idonije, Israel",DET,15,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Babineaux, Jonathan",ATL,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Boley, Michael",CIN,10,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Koenen, Michael",TB,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Leonhard, Jim",BUF,16,63,0,0.0,0,63,-,-,-,-,-,-,-,-
"Wilson, George",TEN,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Gould, Robbie",CHI,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Burnett, Kevin",OAK,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Canty, Chris",BAL,15,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Condo, Jon",OAK,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Ladouceur, L.P.",DAL,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Ratliff, Jeremiah",CHI,5,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Spears, Marcus",BAL,5,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Ware, DeMarcus",DAL,13,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Myers, Chris",HOU,16,0,0,0.0,0,0,0,-,0.0,0,-,-,-,-
"Orlovsky, Dan",TB,2,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Bironas, Rob",TEN,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Jones, Adam",CIN,16,88,0,0.0,1,88,-,-,-,-,-,-,-,-
"Roos, Michael",TEN,16,0,0,0.0,0,0,-,-,-,-,-,-,-,-
"Gandy, Dylan",DET,15,5,0,0.0,0,5,-,-,-,-,-,-,-,-
"Spaeth, Matt",PIT,4,11,11,2.8,1,11,-,-,-,-,11,11.0,2.8,1
"Johnson, Will",PIT,15,41,41,2.7,1,41,-,-,-,-,41,5.1,2.7,1
"Jean, Lestar",HOU,13,35,35,2.7,0,35,-,-,-,-,35,8.8,2.7,0
"Orton, Kyle",DAL,3,8,8,2.7,0,406,8,8.0,2.7,0,-,-,-,-
"Obomanu, Ben",NYJ,3,8,8,2.7,0,8,-,-,-,-,8,8.0,2.7,0
"Mooney, Collin",TEN,12,32,32,2.7,0,32,-,-,-,-,32,5.3,2.7,0
"Line, Zach",MIN,3,8,8,2.7,0,8,-,-,-,-,8,8.0,2.7,0
"Murphy Jr., Louis",NYG,14,37,37,2.6,1,37,-,-,-,-,37,6.2,2.6,1
"Hill, Josh",NO,14,36,36,2.6,1,36,-8,-8.0,-0.6,0,44,7.3,3.1,1
"Ta'ufo'ou, Will",JAX,16,46,41,2.6,0,46,1,1.0,0.1,0,40,4.0,2.5,0
"Romo, Tony",DAL,15,38,38,2.5,0,3866,38,1.9,2.5,0,-,-,-,-
"Schaub, Matt",HOU,10,24,24,2.4,0,2334,24,4.8,2.4,0,-,-,-,-
"Conner, John",NYG,13,31,31,2.4,0,31,-,-,-,-,31,5.2,2.4,0
"Manning, Eli",NYG,16,36,36,2.3,0,3854,36,2.0,2.3,0,-,-,-,-
"Jones, Greg",HOU,16,53,36,2.3,0,53,2,1.0,0.1,0,34,6.8,2.1,0
"Hall, Chad",KC,9,29,20,2.2,0,29,-,-,-,-,20,10.0,2.2,0
"Bruton, David",DEN,16,35,35,2.2,0,35,35,35.0,2.2,0,-,-,-,-
"Taylor, Ryan",GB,14,30,30,2.1,0,30,-,-,-,-,30,5.0,2.1,0
"Davis, Kellen",SEA,15,32,32,2.1,1,32,-,-,-,-,32,10.7,2.1,1
"Sims, Dion",MIA,15,32,32,2.1,1,32,-,-,-,-,32,5.3,2.1,1
"Casey, James",PHI,15,41,31,2.1,0,41,-,-,-,-,31,10.3,2.1,0
"Webb, Joe",MIN,16,42,33,2.1,0,42,-,-,-,-,33,6.6,2.1,0
"Shiancoe, Visanthe",TEN,1,2,2,2.0,0,2,-,-,-,-,2,1.0,2.0,0
"Phillips, John",SD,15,30,30,2.0,0,30,-,-,-,-,30,7.5,2.0,0
"Sperry, Kory",ARZ,8,16,16,2.0,0,16,-,-,-,-,16,16.0,2.0,0
"Donnell, Larry",NYG,16,31,31,1.9,0,31,-,-,-,-,31,10.3,1.9,0
"Barner, Kenjon",CAR,8,31,14,1.8,0,31,7,1.2,0.9,0,7,3.5,0.9,0
"Tyms, Brian",CLE,7,12,12,1.7,0,12,-,-,-,-,12,6.0,1.7,0
"Goldson, Dashon",TB,13,22,22,1.7,0,22,22,22.0,1.7,0,-,-,-,-
"Edwards, Armanti",[],6,38,10,1.7,0,38,0,0.0,0.0,0,10,10.0,1.7,0
"Hynoski, Henry",NYG,3,5,5,1.7,0,5,0,-,0.0,0,5,5.0,1.7,0
"McClain, Le'Ron",SD,16,25,25,1.6,0,25,32,2.9,2.0,0,-7,-3.5,-0.4,0
"Gordon, Richard",KC,2,3,3,1.5,0,3,-,-,-,-,3,3.0,1.5,0
"Chekwa, Chimdi",OAK,15,22,22,1.5,0,22,-,-,-,-,22,22.0,1.5,0
"Wilson, Marquess",CHI,10,13,13,1.3,0,13,-,-,-,-,13,6.5,1.3,0
"Doyle, Jack",IND,15,19,19,1.3,0,19,-,-,-,-,19,3.8,1.3,0
"Osgood, Kassim",SF,14,17,17,1.2,1,17,-,-,-,-,17,17.0,1.2,0
"Brady, Tom",NE,16,18,18,1.1,0,4361,18,0.6,1.1,0,-,-,-,-
"Johnson, Damaris",PHI,13,555,14,1.1,0,555,-,-,-,-,14,7.0,1.1,0
"Mulligan, Matthew",NE,15,16,16,1.1,1,16,-,-,-,-,16,8.0,1.1,1
"Peerman, Cedric",CIN,16,83,17,1.1,0,83,17,2.1,1.1,0,-,-,-,-
"Smith, Armond",CAR,5,5,5,1.0,0,5,5,1.3,1.0,0,-,-,-,-
"Staley, Joe",SF,16,14,14,0.9,0,14,-,-,-,-,14,14.0,0.9,0
"Rosario, Dante",CHI,15,23,13,0.9,0,23,-,-,-,-,13,13.0,0.9,0
"Brockel, Richie",CAR,16,13,13,0.8,0,13,1,1.0,0.1,0,12,12.0,0.8,0
"Easley, Marcus",BUF,16,96,13,0.8,0,96,-,-,-,-,13,6.5,0.8,0
"Thompson, Taylor",TEN,16,13,13,0.8,1,13,-,-,-,-,13,4.3,0.8,1
"Smith, Alex",CIN,16,12,12,0.8,1,12,-,-,-,-,12,4.0,0.8,1
"Cone, Kevin",ATL,16,12,12,0.8,0,12,-,-,-,-,12,12.0,0.8,0
"Reuland, Konrad",NYJ,10,7,7,0.7,0,7,-,-,-,-,7,7.0,0.7,0
"Draughn, Shaun",BAL,3,55,2,0.7,0,55,2,0.5,0.7,0,-,-,-,-
"Charles, Orson",CIN,13,8,8,0.6,0,8,-,-,-,-,8,8.0,0.6,0
