,Unnamed: 0,Fantasy,Passing,Passing.1,Passing.2,Passing.3,Passing.4,Receiving,Receiving.1,Receiving.2,Receiving.3,Rushing,Rushing.1,Rushing.2,Unnamed: 0.1,Unnamed: 0.1,Unnamed: 1,Unnamed: 2
83,45,4.9,,,,,,2.0,2.0,13.0,0.0,13.0,27.0,0.0,Rashad Jennings,Rashad Jennings,NYG,1
84,46,3.3,,,,,,2.0,2.0,28.0,0.0,1.0,11.0,0.0,Jamize Olawale,Jamize Olawale,OAK,1
85,47,3.8,,,,,,0.0,0.0,0.0,0.0,6.0,38.0,0.0,Ameer Abdullah,Ameer Abdullah,DET,1
86,48,11.7,,,,,,9.0,8.0,10.0,0.0,7.0,28.0,0.0,T.J. Yeldon,T.J. Yeldon,JAC,1
87,49,6.2,,,,,,5.0,5.0,29.0,0.0,2.0,7.0,0.0,Josh Ferguson,Josh Ferguson,IND,1
88,50,2.8,,,,,,2.0,2.0,26.0,0.0,3.0,6.0,0.0,Lance Dunbar,Lance Dunbar,DAL,1
89,51,4.4,,,,,,2.0,2.0,9.0,0.0,3.0,22.0,0.0,Jordan Howard,Jordan Howard,CHI,1
90,52,3.1,,,,,,0.0,0.0,0.0,0.0,4.0,31.0,0.0,Dwayne Washington,Dwayne Washington,DET,1
91,53,3.8,,,,,,1.0,1.0,4.0,0.0,3.0,27.0,0.0,Danny Woodhead,Danny Woodhead,SD,1
92,54,3.0,,,,,,1.0,0.0,0.0,0.0,2.0,29.0,0.0,Jacquizz Rodgers,Jacquizz Rodgers,TB,1
93,55,4.3,,,,,,4.0,2.0,10.0,0.0,4.0,19.0,0.0,James White,James White,NE,1
94,56,5.9,,,,,,5.0,3.0,4.0,0.0,9.0,24.0,0.0,Charles Sims,Charles Sims,TB,1
95,57,2.8,,,,,,1.0,1.0,10.0,0.0,7.0,17.0,0.0,Jalen Richard,Jalen Richard,OAK,1
96,58,4.2,,,,,,3.0,2.0,7.0,0.0,12.0,19.0,0.0,Adrian Peterson,Adrian Peterson,MIN,1
97,59,2.5,,,,,,1.0,1.0,11.0,0.0,6.0,14.0,0.0,Matt Asiata,Matt Asiata,MIN,1
98,60,2.6,,,,,,1.0,0.0,0.0,0.0,9.0,25.0,0.0,Mike Tolbert,Mike Tolbert,CAR,1
99,61,2.3,,,,,,0.0,0.0,0.0,0.0,7.0,23.0,0.0,Doug Martin,Doug Martin,TB,1
100,62,2.2,,,,,,1.0,0.0,0.0,0.0,9.0,21.0,0.0,Shaun Draughn,Shaun Draughn,SF,1
101,63,2.1,,,,,,3.0,1.0,13.0,0.0,1.0,8.0,0.0,Jonathan Grimes,Jonathan Grimes,HOU,1
102,64,1.4,,,,,,1.0,1.0,16.0,0.0,7.0,3.0,0.0,James Starks,James Starks,GB,1
103,65,2.3,,,,,,3.0,2.0,17.0,0.0,0.0,0.0,0.0,Travaris Cadet,Travaris Cadet,NO,1
104,66,1.7,,,,,,1.0,0.0,0.0,0.0,2.0,16.0,0.0,Wendell Smallwood,Wendell Smallwood,PHI,1
105,67,3.1,,,,,,2.0,2.0,7.0,0.0,5.0,9.0,0.0,Jonathan Stewart,Jonathan Stewart,CAR,1
106,68,1.9,,,,,,2.0,1.0,7.0,0.0,1.0,7.0,0.0,Denard Robinson,Denard Robinson,JAC,1
107,69,1.4,,,,,,1.0,0.0,0.0,0.0,4.0,13.0,0.0,Kenneth Farrow,Kenneth Farrow,SD,1
108,70,1.5,,,,,,1.0,1.0,9.0,0.0,1.0,4.0,0.0,Fitzgerald Toussaint,Fitzgerald Toussaint,PIT,1
109,71,1.1,,,,,,0.0,0.0,0.0,0.0,5.0,11.0,0.0,Alfred Blue,Alfred Blue,HOU,1
110,72,1.3,,,,,,1.0,1.0,9.0,0.0,1.0,2.0,0.0,Andre Ellington,Andre Ellington,ARI,1
111,73,1.1,,,,,,1.0,1.0,11.0,0.0,0.0,0.0,0.0,Andy Janovich,Andy Janovich,DEN,1
112,74,1.1,,,,,,1.0,1.0,10.0,0.0,0.0,0.0,0.0,Mike Davis,Mike Davis,SF,1
113,75,2.4,,,,,,2.0,2.0,8.0,0.0,1.0,2.0,0.0,John Kuhn,John Kuhn,NO,1
114,76,1.4,,,,,,2.0,1.0,7.0,0.0,1.0,2.0,0.0,Benny Cunningham,Benny Cunningham,LAR,1
115,77,0.9,,,,,,0.0,0.0,0.0,0.0,3.0,9.0,0.0,Arian Foster,Arian Foster,MIA,1
116,78,1.9,,,,,,2.0,1.0,2.0,0.0,1.0,7.0,0.0,D.J. Foster,D.J. Foster,NE,1
117,79,0.9,,,,,,0.0,0.0,0.0,0.0,3.0,9.0,0.0,Tim Hightower,Tim Hightower,NO,1
118,80,1.2,,,,,,2.0,1.0,8.0,0.0,0.0,0.0,0.0,Kyle Juszczyk,Kyle Juszczyk,BAL,1
119,81,2.6,,,,,,3.0,3.0,15.0,0.0,7.0,-7.0,0.0,Thomas Rawls,Thomas Rawls,SEA,1
120,82,0.8,,,,,,1.0,0.0,0.0,0.0,1.0,7.0,0.0,Kapri Bibbs,Kapri Bibbs,DEN,1
121,83,1.4,,,,,,1.0,1.0,3.0,0.0,2.0,3.0,0.0,Ka'Deem Carey,Ka'Deem Carey,CHI,1
122,84,0.6,,,,,,0.0,0.0,0.0,0.0,1.0,6.0,0.0,Daryl Richardson,Daryl Richardson,PIT,1
123,85,1.4,,,,,,2.0,1.0,1.0,0.0,1.0,2.0,0.0,Bilal Powell,Bilal Powell,NYJ,1
124,86,0.2,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,0.0,Kenjon Barner,Kenjon Barner,PHI,1
125,87,1.0,,,,,,1.0,1.0,3.0,0.0,1.0,-1.0,0.0,Orleans Darkwa,Orleans Darkwa,NYG,1
126,88,1.3,,,,,,1.0,1.0,-1.0,0.0,2.0,2.0,0.0,Jerick McKinnon,Jerick McKinnon,MIN,1
127,89,0.0,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Alex Collins,Alex Collins,SEA,1
128,90,0.1,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Will Tukuafu,Will Tukuafu,SEA,1
129,0,26.2,,,,,,8.0,5.0,122.0,1.0,,,,Greg Olsen,Greg Olsen,CAR,1
130,1,25.4,,,,,,6.0,5.0,114.0,1.0,,,,Martellus Bennett,Martellus Bennett,NE,1
131,2,20.3,,,,,,6.0,6.0,83.0,1.0,,,,Delanie Walker,Delanie Walker,TEN,1
132,3,14.5,,,,,,2.0,1.0,75.0,1.0,,,,Vance McDonald,Vance McDonald,SF,1
133,4,18.5,,,,,,8.0,5.0,75.0,1.0,,,,Jacob Tamme,Jacob Tamme,ATL,1
134,5,17.0,,,,,,7.0,6.0,50.0,1.0,,,,Clive Walford,Clive Walford,OAK,1
135,6,15.9,,,,,,7.0,5.0,49.0,1.0,,,,Trey Burton,Trey Burton,PHI,1
136,7,15.9,,,,,,7.0,5.0,49.0,1.0,,,,Jordan Cameron,Jordan Cameron,MIA,1
137,8,22.2,,,,,,12.0,9.0,102.0,0.0,,,,Dennis Pitta,Dennis Pitta,BAL,1
138,9,12.1,,,,,,8.0,3.0,31.0,1.0,,,,Kyle Rudolph,Kyle Rudolph,MIN,1
139,10,11.9,,,,,,5.0,3.0,29.0,1.0,,,,Jesse James,Jesse James,PIT,1
140,11,10.6,,,,,,4.0,2.0,26.0,1.0,,,,Xavier Grimble,Xavier Grimble,PIT,1
141,12,11.4,,,,,,3.0,3.0,84.0,0.0,,,,Austin Hooper,Austin Hooper,ATL,1
142,13,9.7,,,,,,3.0,2.0,17.0,1.0,,,,Marcedes Lewis,Marcedes Lewis,JAC,1
143,14,10.5,,,,,,5.0,3.0,15.0,1.0,,,,Antonio Gates,Antonio Gates,SD,1
144,15,11.1,,,,,,7.0,4.0,71.0,0.0,,,,Julius Thomas,Julius Thomas,JAC,1
145,16,12.0,,,,,,7.0,5.0,70.0,0.0,,,,Jordan Reed,Jordan Reed,WAS,1
146,17,10.1,,,,,,6.0,4.0,61.0,0.0,,,,Lance Kendricks,Lance Kendricks,LAR,1
147,18,9.3,,,,,,7.0,4.0,53.0,0.0,,,,Eric Ebron,Eric Ebron,DET,1
148,19,10.1,,,,,,5.0,5.0,51.0,0.0,,,,Vernon Davis,Vernon Davis,WAS,1
149,20,8.1,,,,,,4.0,3.0,51.0,0.0,,,,Jason Witten,Jason Witten,DAL,1
150,21,7.6,,,,,,3.0,3.0,46.0,0.0,,,,Virgil Green,Virgil Green,DEN,1
151,22,7.2,,,,,,4.0,3.0,42.0,0.0,,,,Jimmy Graham,Jimmy Graham,SEA,1
152,23,7.7,,,,,,5.0,4.0,37.0,0.0,,,,Gary Barnidge,Gary Barnidge,CLE,1
153,24,7.7,,,,,,5.0,4.0,37.0,0.0,,,,Jack Doyle,Jack Doyle,IND,1
154,25,6.5,,,,,,4.0,3.0,35.0,0.0,,,,Tyler Kroft,Tyler Kroft,CIN,1
155,26,8.4,,,,,,7.0,5.0,34.0,0.0,,,,Travis Kelce,Travis Kelce,KC,1
156,27,7.3,,,,,,5.0,4.0,33.0,0.0,,,,Zach Miller,Zach Miller,CHI,1
157,28,7.1,,,,,,6.0,4.0,31.0,0.0,,,,Jared Cook,Jared Cook,GB,1
158,29,7.1,,,,,,5.0,4.0,31.0,0.0,,,,Darren Fells,Darren Fells,ARI,1
159,30,4.9,,,,,,8.0,2.0,29.0,0.0,,,,Coby Fleener,Coby Fleener,NO,1
160,31,4.9,,,,,,2.0,2.0,29.0,0.0,,,,Geoff Swaim,Geoff Swaim,DAL,1
161,32,7.7,,,,,,7.0,5.0,27.0,0.0,,,,Charles Clay,Charles Clay,BUF,1
162,33,4.5,,,,,,4.0,2.0,25.0,0.0,,,,Dwayne Allen,Dwayne Allen,IND,1
163,34,4.5,,,,,,2.0,2.0,25.0,0.0,,,,Richard Rodgers,Richard Rodgers,GB,1
164,35,6.4,,,,,,5.0,4.0,24.0,0.0,,,,Larry Donnell,Larry Donnell,NYG,1
165,36,6.4,,,,,,4.0,4.0,24.0,0.0,,,,Lee Smith,Lee Smith,OAK,1
166,37,3.2,,,,,,3.0,1.0,22.0,0.0,,,,Crockett Gillmore,Crockett Gillmore,BAL,1
167,38,3.1,,,,,,1.0,1.0,21.0,0.0,,,,Dion Sims,Dion Sims,MIA,1
168,39,4.1,,,,,,2.0,2.0,21.0,0.0,,,,Levine Toilolo,Levine Toilolo,ATL,1
169,40,4.6,,,,,,4.0,3.0,16.0,0.0,,,,Cameron Brate,Cameron Brate,TB,1
170,41,2.6,,,,,,1.0,1.0,16.0,0.0,,,,Niles Paul,Niles Paul,WAS,1
171,42,3.5,,,,,,3.0,2.0,15.0,0.0,,,,Stephen Anderson,Stephen Anderson,HOU,1
172,43,3.4,,,,,,2.0,2.0,14.0,0.0,,,,Austin Seferian-Jenkins,Austin Seferian-Jenkins,TB,1
173,44,2.2,,,,,,2.0,1.0,12.0,0.0,,,,Garrett Celek,Garrett Celek,SF,1
174,45,3.0,,,,,,3.0,2.0,10.0,0.0,,,,Will Tye,Will Tye,NYG,1
175,46,3.9,,,,,,8.0,3.0,9.0,0.0,,,,C.J. Uzomah,C.J. Uzomah,CIN,1
176,47,1.7,,,,,,1.0,1.0,7.0,0.0,,,,Phillip Supernaw,Phillip Supernaw,TEN,1
177,48,1.6,,,,,,2.0,1.0,6.0,0.0,,,,Blake Bell,Blake Bell,SF,1
178,49,1.6,,,,,,1.0,1.0,6.0,0.0,,,,Luke Willson,Luke Willson,SEA,1
179,50,1.5,,,,,,2.0,1.0,5.0,0.0,,,,Ryan Griffin,Ryan Griffin,HOU,1
180,51,1.5,,,,,,1.0,1.0,5.0,0.0,,,,David Johnson,David Johnson,PIT,1
181,52,1.1,,,,,,3.0,1.0,1.0,0.0,,,,Anthony Fasano,Anthony Fasano,TEN,1
182,53,1.1,,,,,,1.0,1.0,1.0,0.0,,,,C.J. Fiedorowicz,C.J. Fiedorowicz,HOU,1
183,54,0.0,,,,,,1.0,0.0,0.0,0.0,,,,Brandon Bostick,Brandon Bostick,NYJ,1
184,55,0.0,,,,,,1.0,0.0,0.0,0.0,,,,Brent Celek,Brent Celek,PHI,1
185,56,0.0,,,,,,1.0,0.0,0.0,0.0,,,,Kellen Davis,Kellen Davis,NYJ,1
186,57,0.0,,,,,,1.0,0.0,0.0,0.0,,,,Ed Dickson,Ed Dickson,CAR,1
187,58,0.0,,,,,,1.0,0.0,0.0,0.0,,,,Jermaine Gresham,Jermaine Gresham,ARI,1
188,59,0.0,,,,,,1.0,0.0,0.0,0.0,,,,Demetrius Harris,Demetrius Harris,KC,1
189,60,0.0,,,,,,1.0,0.0,0.0,0.0,,,,Troy Niklas,Troy Niklas,ARI,1
190,0,19.1,,,,,,11.0,9.0,182.0,1.0,0.0,0.0,0.0,Stefon Diggs,Stefon Diggs,MIN,1
191,1,21.6,,,,,,6.0,6.0,115.0,2.0,1.0,-1.0,0.0,Travis Benjamin,Travis Benjamin,SD,1
192,2,22.9,,,,,,9.0,7.0,108.0,2.0,0.0,0.0,0.0,Kelvin Benjamin,Kelvin Benjamin,CAR,1
193,3,20.8,,,,,,8.0,5.0,104.0,2.0,0.0,0.0,0.0,Corey Coleman,Corey Coleman,CLE,1
194,4,15.8,,,,,,8.0,6.0,126.0,1.0,0.0,0.0,0.0,Eric Decker,Eric Decker,NYJ,1
195,5,17.1,,,,,,11.0,7.0,113.0,1.0,0.0,0.0,0.0,DeAndre Hopkins,DeAndre Hopkins,HOU,1
196,6,11.5,,,,,,5.0,2.0,112.0,1.0,0.0,0.0,0.0,Marquise Goodwin,Marquise Goodwin,BUF,1
197,7,16.4,,,,,,4.0,4.0,50.0,2.0,0.0,0.0,0.0,Danny Amendola,Danny Amendola,NE,1
198,8,14.5,,,,,,5.0,5.0,106.0,1.0,0.0,0.0,0.0,Julio Jones,Julio Jones,ATL,1
199,9,16.6,,,,,,6.0,4.0,41.0,2.0,0.0,0.0,0.0,Mike Wallace,Mike Wallace,BAL,1
200,10,10.5,,,,,,5.0,4.0,89.0,1.0,0.0,0.0,0.0,Greg Salas,Greg Salas,BUF,1
201,11,13.1,,,,,,11.0,6.0,81.0,1.0,0.0,0.0,0.0,Larry Fitzgerald,Larry Fitzgerald,ARI,1
202,12,8.2,,,,,,2.0,2.0,78.0,1.0,0.0,0.0,0.0,Jaron Brown,Jaron Brown,ARI,1
203,13,14.3,,,,,,13.0,10.0,137.0,0.0,0.0,0.0,0.0,Jarvis Landry,Jarvis Landry,MIA,1
204,14,12.1,,,,,,11.0,5.0,73.0,1.0,0.0,0.0,0.0,Jordy Nelson,Jordy Nelson,GB,1
205,15,13.7,,,,,,17.0,6.0,70.0,1.0,0.0,0.0,0.0,Mike Evans,Mike Evans,TB,1
206,16,9.6,,,,,,6.0,3.0,61.0,1.0,0.0,0.0,0.0,Tyrell Williams,Tyrell Williams,SD,1
207,17,12.1,,,,,,11.0,8.0,118.0,0.0,0.0,0.0,0.0,Marvin Jones,Marvin Jones,DET,1
208,18,11.8,,,,,,8.0,8.0,117.0,0.0,0.0,0.0,0.0,Sterling Shepard,Sterling Shepard,NYG,1
209,19,10.0,,,,,,10.0,3.0,55.0,1.0,0.0,0.0,0.0,Torrey Smith,Torrey Smith,SF,1
210,20,11.8,,,,,,8.0,5.0,54.0,1.0,0.0,0.0,0.0,Willie Snead,Willie Snead,NO,1
