,Unnamed: 0,playerId,rec,recYds,recTds,fumbles,analyst,player,position,games,rushAtt,rushYds,rushTds,rush40,rec40,returnYds,returnTds,twoPts,Fantasy Points
165,166,2536071,0.0,0.0,0.0,0.0,3,Cooper Helfet,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,167,2536342,0.7,6.9,0.0,0.0,3,Brandon Bostick,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39
167,168,2537933,1.7,17.5,0.1,0.0,3,Larry Donnell,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.05
168,169,2539197,0.0,0.0,0.0,0.0,3,Michael Williams,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,170,2539202,0.0,0.0,0.0,0.0,3,Chris Gragg,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,171,2539208,0.0,0.0,0.0,0.0,3,Chris Pantale,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,172,2539283,0.0,0.0,0.0,0.0,3,Jake Stoneburner,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,173,2539645,0.2,2.0,0.0,0.0,3,Brandon Williams,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
173,174,2539995,0.8,8.5,0.1,0.0,3,Mychal Rivera,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25
174,175,2540148,0.0,0.0,0.0,0.0,3,Tyler Eifert,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,176,2540158,0.0,0.0,0.0,0.0,3,Zach Ertz,TE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,177,2540160,5.7,64.8,0.5,0.0,3,Jordan Reed,TE,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,15.18
177,178,2540200,1.0,11.8,0.1,0.0,3,Dion Sims,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78
178,179,2540203,0.5,4.0,0.0,0.0,3,Levine Toilolo,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
