Player,Team,Games Played,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Interceptions,Interception Yards,Interception Touchdowns,Interception Return Long,Forced Fumbles,Fumbles Recovered,Fumble Recovery Touchdowns,Passes Defensed,Safeties,Stuffs,Stuff Yards
"Gwacham, Obum",NO,9,4,3,1,2.5,17,0,0,0,0,1,1,0,0,0,0.0,0.0
"Nunez-Roches, Rakeem",KC,7,4,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"McDonald, Dexter",OAK,6,4,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Mbu, Joey",ATL,2,4,1,3,0.0,0,0,0,0,0,0,0,0,0,0,1.0,3.0
"Drummond, Kurtis",HOU,9,4,4,0,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
"Bates, Houston",WSH,10,4,4,0,0.0,0,0,0,0,0,0,0,0,0,1,2.0,2.0
"Trusnik, Jason",MIN,8,3,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
"Pitoitua, Ropati",TEN,5,3,2,1,0.0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
"Butler, Crezdon",[],9,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Walls, Darrin",NYJ,13,3,2,1,0.0,0,0,0,0,0,0,0,0,3,0,0.0,0.0
"Bowers, Da'Quan",TB,3,3,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0.5,1.0
"Thomas, Josh",IND,8,3,3,0,0.0,0,0,0,0,0,0,0,0,2,0,0.0,0.0
"Keo, Shiloh",DEN,4,3,3,0,0.0,0,1,22,0,22,0,0,0,1,0,0.0,0.0
"Lewis-Harris, Chris",CIN,7,3,3,0,0.0,0,0,-1,0,-1,0,0,0,0,0,0.0,0.0
"Ihenacho, Duke",WSH,1,3,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Richardson, Sean",GB,3,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Martin, Mike",TEN,5,3,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Johnson, Cam",CLE,1,3,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0.5,1.5
"Scruggs, Greg",CHI,1,3,3,0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Williams, Teddy",CAR,16,3,2,1,0.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0
"Goodman, Malliciah",ATL,4,3,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Bates, Daren",STL,15,3,2,1,0.0,0,0,0,0,0,0,1,0,1,0,0.0,0.0
"Reddick, Kevin",BUF,5,3,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"King, David",[],5,3,1,2,0.5,4,0,0,0,0,0,0,0,2,0,0.0,0.0
"Lewis-Moore, Kapron",BAL,5,3,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Rolle, Jumal",[],9,3,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"Ferguson, Ego",CHI,4,3,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"McDougle, Dexter",NYJ,14,3,1,2,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
