"","playerId","rec","recYds","recTds","fumbles","analyst","player","position","games","rushAtt","rushYds","rushTds","rush40","rec40","returnYds","returnTds","twoPts"
"383",2550313,NA,32,NA,NA,5,"Richard Rodgers","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"384",2550355,NA,NA,NA,NA,5,"Nic Jacobs","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"385",2550356,NA,NA,NA,NA,5,"Marcel Jensen","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"386",2550405,NA,5,NA,NA,5,"Erik Swoope","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"387",2550454,NA,NA,NA,NA,5,"Asante Cleveland","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"388",2550521,NA,9,NA,NA,5,"Xavier Grimble","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"389",2550656,NA,24,NA,NA,5,"Cameron Brate","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"390",2551359,NA,NA,NA,NA,5,"Jerome Cunningham","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"391",2552396,NA,5,NA,NA,5,"Ben Koyack","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"392",2552397,NA,30,1,NA,5,"Clive Walford","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"393",2552399,NA,7,NA,NA,5,"Jeff Heuerman","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"394",2552402,NA,NA,NA,NA,5,"Nick Boyle","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"395",2552403,NA,5,NA,NA,5,"Nick OLeary","TE",NA,NA,1,NA,NA,NA,NA,NA,NA
"396",2552462,NA,NA,NA,NA,5,"Gerald Christian","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"397",2552468,NA,12,NA,NA,5,"Maxx Williams","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"398",2552478,NA,6,NA,NA,5,"Blake Bell","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"399",2552559,NA,29,NA,NA,5,"C.J. Uzomah","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"400",2552580,NA,NA,NA,NA,5,"A.J. Derby","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"401",2552586,NA,NA,NA,NA,5,"Tyler Kroft","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"402",2552633,NA,27,NA,NA,5,"Jesse James","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"403",2552660,NA,5,NA,NA,5,"Randall Telfer","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"404",2553318,NA,NA,NA,NA,5,"James OShaughnessy","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"405",2553454,NA,7,1,NA,5,"Geoff Swaim","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"406",2553773,NA,NA,NA,NA,5,"Mitchell Henry","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"407",2553791,NA,NA,NA,NA,5,"E.J. Bibbs","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"408",2553830,NA,24,1,NA,5,"Will Tye","TE",NA,NA,1,NA,NA,NA,NA,NA,NA
"409",2555306,NA,5,NA,NA,5,"David Morgan","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"410",2555311,NA,5,NA,NA,5,"Jerell Adams","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"411",2555341,NA,10,1,NA,5,"Hunter Henry","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"412",2555364,NA,8,NA,NA,5,"Tyler Higbee","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"413",2555415,NA,9,NA,NA,5,"Austin Hooper","TE",NA,NA,1,NA,NA,NA,NA,NA,NA
"414",2555486,NA,4,NA,NA,5,"Temarrick Hemingway","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"415",2556463,NA,12,NA,NA,5,"Stephen Anderson","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"416",2556708,NA,7,NA,NA,5,"Cole Wick","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"417",324,3.5,41.1,0.3,0,6,"Jacob Tamme","TE",NA,0,0,0,NA,NA,NA,NA,0
"418",1060,3.8,52.1,0.2,0,6,"Gary Barnidge","TE",NA,0,0,0,NA,NA,NA,NA,0
"419",1062,2.4,25.5,0.1,0,6,"Martellus Bennett","TE",NA,0,0,0,NA,NA,NA,NA,0
"420",71255,0,0,0,0,6,"Chase Coffman","TE",NA,0,0,0,NA,NA,NA,NA,0
"421",71265,3.9,50.1,0.3,0,6,"Jared Cook","TE",NA,0,0,0,NA,NA,NA,NA,0
"422",71431,NA,NA,NA,NA,6,"Brandon Pettigrew","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"423",71435,0,0,0,0,6,"John Phillips","TE",NA,0,0,0,NA,NA,NA,NA,0
"424",79589,0.3,2.8,0,0,6,"David Johnson","TE",NA,0,0,0,NA,NA,NA,NA,0
"425",79625,NA,NA,NA,NA,6,"Bear Pascoe","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"426",89766,0.1,0.8,0,0,6,"Brandon Myers","TE",NA,0,0,0,NA,NA,NA,NA,0
"427",238457,2.8,34.6,0.2,0,6,"Zach Miller","TE",NA,0,0,0,NA,NA,NA,NA,0
"428",497224,0.9,7.4,0.1,0,6,"Ed Dickson","TE",NA,0,0,0,NA,NA,NA,NA,0
"429",497226,0.2,2,0,0,6,"Jim Dray","TE",NA,0,0,0,NA,NA,NA,NA,0
"430",497234,0,0,0,0,6,"Garrett Graham","TE",NA,0,0,0,NA,NA,NA,NA,0
"431",497236,3,39.4,0.3,0,6,"Jimmy Graham","TE",NA,0,0,0,NA,NA,NA,NA,0
"432",497238,0.8,8.1,0.1,0,6,"Jermaine Gresham","TE",NA,0,0,0,NA,NA,NA,NA,0
"433",497240,4,56.7,0.3,0,6,"Rob Gronkowski","TE",NA,0,0,0,NA,NA,NA,NA,0
"434",497242,0.1,0.5,0,0,6,"Clay Harbor","TE",NA,0,0,0,NA,NA,NA,NA,0
"435",497246,NA,NA,NA,NA,6,"Michael Hoomanawanui","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"436",497254,4,45,0.3,0.1,6,"Dennis Pitta","TE",NA,0,0,0,NA,NA,NA,NA,0
"437",2495139,3.5,35.2,0.2,0.1,6,"Charles Clay","TE",NA,0,0,0,NA,NA,NA,NA,0
"438",2495187,3.5,37,0.2,0,6,"Lance Kendricks","TE",NA,0,0,0,NA,NA,NA,NA,0
"439",2495211,0.1,0.8,0,0,6,"Niles Paul","TE",NA,0,0,0,NA,NA,NA,NA,0
"440",2495234,0,0,0,0,6,"Luke Stocker","TE",NA,0,0,0,NA,NA,NA,NA,0
"441",2495267,3,34.7,0.2,0,6,"Jordan Cameron","TE",NA,0,0,0,NA,NA,NA,NA,0
"442",2495288,2.4,24.3,0.1,0,6,"Virgil Green","TE",NA,0,0,0,NA,NA,NA,NA,0
"443",2495347,2,20.2,0.2,0,6,"Lee Smith","TE",NA,0,0,0,NA,NA,NA,NA,0
"444",2495353,3.7,37.7,0.2,0,6,"Julius Thomas","TE",NA,0,0,0,NA,NA,NA,NA,0
"445",2495438,3.2,32.7,0.1,0.1,6,"Kyle Rudolph","TE",NA,0,0,0,NA,NA,NA,NA,0
"446",2495620,NA,NA,NA,NA,6,"Clark Harris","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"447",2495700,3.8,52.2,0.4,0,6,"Greg Olsen","TE",NA,0,0,0,NA,NA,NA,NA,0
"448",2495826,1.2,12.6,0.1,0,6,"Vernon Davis","TE",NA,0,0,0,NA,NA,NA,NA,0
"449",2495835,0.7,6.7,0,0,6,"Anthony Fasano","TE",NA,0,0,0,NA,NA,NA,NA,0
"450",2495888,1.6,21.9,0.1,0,6,"Marcedes Lewis","TE",NA,0,0,0,NA,NA,NA,NA,0
"451",2495966,4.7,55.7,0.3,0,6,"Delanie Walker","TE",NA,0,0,0,NA,NA,NA,NA,0
