ï»¿Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted
80,466086231,coachrosemeyer1964 (3/3),0,216.82,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Michael Crabtree WR Antonio Brown WR Tajae Sharpe TE Dwayne Allen FLEX Latavius Murray DST Texans ,,Terrelle Pryor,3.97%
80,467123837,rjohnson2371 (3/3),0,216.82,QB Drew Brees RB DeMarco Murray RB C.J. Anderson WR Marvin Jones Jr. WR Brandin Cooks WR Amari Cooper TE Dwayne Allen FLEX Spencer Ware DST Chiefs ,,Rashad Jennings,3.90%
80,465763097,BDholla89 (31/50),0,216.82,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Willie Snead WR Brandin Cooks TE Crockett Gillmore FLEX Jared Cook DST Colts ,,Cardinals ,3.89%
84,463609509,cocomaxbella (2/2),0,216.8,QB Matthew Stafford RB DeAngelo Williams RB Spencer Ware WR Victor Cruz WR Antonio Brown WR Marvin Jones Jr. TE Travis Kelce FLEX Theo Riddick DST Seahawks ,,Kirk Cousins,3.88%
85,466333602,cheffrank (50/50),0,216.74,QB Jameis Winston RB Danny Woodhead RB Spencer Ware WR Willie Snead WR Donte Moncrief WR Will Fuller TE Jordan Reed FLEX Antonio Brown DST Titans ,,Will Fuller,3.83%
86,463271153,Prime00Time (1/2),0,216.72,QB Drew Brees RB DeAngelo Williams RB Mark Ingram WR Marvin Jones Jr. WR Brandin Cooks WR Michael Thomas TE Jason Witten FLEX Willie Snead DST Vikings ,,Allen Robinson,3.73%
86,466078006,poldt (10/50),0,216.72,QB Drew Brees RB Spencer Ware RB David Johnson WR Michael Crabtree WR Willie Snead WR Tajae Sharpe TE Jesse James FLEX Antonio Brown DST Eagles ,,Robert Griffin III,3.72%
88,467403851,chess_is_ok (12/50),0,216.6,QB Andrew Luck RB Latavius Murray RB Spencer Ware WR A.J. Green WR Willie Snead WR Donte Moncrief TE Delanie Walker FLEX Stefon Diggs DST Texans ,,Jordy Nelson,3.69%
89,466165952,drdignam (36/50),0,216.52,QB Carson Wentz RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Jarvis Landry WR Amari Cooper TE Zach Ertz FLEX Dwayne Allen DST Vikings ,,Rishard Matthews,3.68%
90,466794894,cjfung,0,216.5,QB Ben Roethlisberger RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Willie Snead WR Stefon Diggs TE Jason Witten FLEX Christine Michael DST Chiefs ,,Keenan Allen,3.66%
